EntityID,LEA Name,County,Total: Total,"Local, Intermediate, State: Total",Total: M&O - Operations,"Local, Intermediate, State: M&O - Operations",Total: M&O - Other,"Local, Intermediate, State: M&O - Other",Total: M&O and CSF & IIF - Operations,"Local, Intermediate, State: M&O and CSF & IIF - Operations",Total: M&O and CSF & IIF - Other,"Local, Intermediate, State: M&O and CSF & IIF - Other",Total Property Revenue,Total Students,Percent Asian,Percent Black,Percent Hispanic,Percent White,Percent SPED,Percent ELL,Percent Poverty,Percent Non-White,ELL Grouping,Non-White Grouping,Poverty Grouping,Black Grouping,Hispanic Grouping,SPED Grouping,Per-Pupil Revenue: Total,Per-Pupil Revenue: Maintenance & Operations,Per-Pupil Property Revenue,Property Revenue Quartile,Property Tax Rate
4153,St Johns Unified District,Apache,9741213.86,8806334.47,6799068,6799068,2942145.86,2007266.47,7333397,7333397,2407816.86,1472937.47,28340664,863,0,0,0.25,0.646428571,0.157589803,0,0.333333333,0.353571429,Quartiles 1 & 2,Quartile 1,Quartile 4,"Quartiles 1, 2, & 3",Quartile 2,Quartile 3,10204.32731,8497.563152,32839.70336,Quartile 1,4.4972
4154,Window Rock Unified District,Apache,35197280,13616903,10971731,10971731,24225549,2645172,12034248,12034248,23163032,1582655,15733773,1859,0,0,0,0,0.124798279,0.062937063,0.443667763,1,Quartile 3,Quartile 4,Quartile 4,"Quartiles 1, 2, & 3",Quartile 1,Quartile 2,7324.853685,6473.506186,8463.568047,Quartile 1,2.8203
4155,Round Valley Unified District,Apache,13208642,11472283,9345608,9345608,3863034,2126675,10095846,10095846,3112796,1376437,323468780,1315,0,0,0.246743295,0.695785441,0.142965779,0.047908745,0.259285714,0.304214559,Quartile 3,Quartile 1,Quartile 3,"Quartiles 1, 2, & 3",Quartile 2,Quartile 3,8724.169582,7677.44943,245983.8631,Quartile 4,2.6248
4156,Sanders Unified District,Apache,13621634.21,5577036.34,4349970,4349970,9271664.21,1227066.34,4801056,4801056,8820578.21,775980.34,17997621,717,0,0,0.025641026,0,0.136680614,0.111576011,0.457165109,1,Quartile 4,Quartile 4,Quartile 4,"Quartiles 1, 2, & 3",Quartile 1,Quartile 2,7778.293361,6696.033473,25101.28452,Quartile 1,0
4157,Ganado Unified School District,Apache,26298484.35,10279496.12,8563567,8563567,17734917.35,1715929.12,9408654,9408654,16889830.35,870842.12,20936609,1423,0,0,0.012765957,0,0.085031623,0.072382291,0.505890052,1,Quartile 3,Quartile 4,Quartile 4,"Quartiles 1, 2, & 3",Quartile 1,Quartile 1,7223.820183,6611.843992,14713.00703,Quartile 1,2.0904
4158,Chinle Unified District,Apache,71622741.17,26407296.91,21816650.6,21816650.6,49806090.57,4590646.31,23869130.16,23869130.16,47753611.01,2538166.75,2714982,3483,0,0,0,0,0.125466552,0.066035027,0.514986968,1,Quartile 3,Quartile 4,Quartile 4,"Quartiles 1, 2, & 3",Quartile 1,Quartile 2,7581.767703,6853.037657,779.4952627,Quartile 1,4.0919
4159,Red Mesa Unified District,Apache,11000248.29,4739655.28,3920148,3920148,7080100.29,819507.28,4265121,4265121,6735127.29,474534.28,1509280,475,0,0,0,0,0.147368421,0,0.427254098,1,Quartiles 1 & 2,Quartile 4,Quartile 4,"Quartiles 1, 2, & 3",Quartile 1,Quartile 3,9978.221642,8979.202105,3177.431579,Quartile 1,0
4160,Concho Elementary District,Apache,4062419,3636255,2701557,2701557,1360862,934698,2796948,2796948,1265471,839307,17773135,167,0,0,0.350649351,0.649350649,0.245508982,0,0.282608696,0.350649351,Quartiles 1 & 2,Quartile 1,Quartile 3,"Quartiles 1, 2, & 3",Quartile 2,Quartile 4,21773.98204,16748.19162,106425.9581,Quartile 3,7.0905
4161,Alpine Elementary District,Apache,1543585,1298828,1047591,1047591,495994,251237,1087466,1087466,456119,211362,15978118,54,0,0,0,1,0.222222222,0,0.377777778,0,Quartiles 1 & 2,Quartile 1,Quartile 4,"Quartiles 1, 2, & 3",Quartile 1,Quartile 4,24052.37037,20138.25926,295891.0741,Quartile 4,3.1628
4162,Vernon Elementary District,Apache,2318125.48,1990445.99,1714132,1714132,603993.48,276313.99,1777396,1777396,540729.48,213049.99,16257530,107,0,0,0.112244898,0.887755102,0.196261682,0,0.260536398,0.112244898,Quartiles 1 & 2,Quartile 1,Quartile 3,"Quartiles 1, 2, & 3",Quartile 1,Quartile 4,18602.29897,16611.17757,151939.5327,Quartile 3,6.3328
4163,Mcnary Elementary District,Apache,3274611.7,1239473.7,1064478,1064478,2210133.7,174995.7,1149470,1149470,2125141.7,90003.7,877178,124,0,0,0,0,0.169354839,0,0.417218543,1,Quartiles 1 & 2,Quartile 4,Quartile 4,"Quartiles 1, 2, & 3",Quartile 1,Quartile 4,9995.755645,9269.919355,7074.016129,Quartile 1,0
4167,Fort Huachuca Accommodation District,Cochise,14934868.84,5846010.23,5220340,5220340,9714528.84,625670.23,5661777,5661777,9273091.84,184233.23,0,901,0.026755853,0.127090301,0.227424749,0.539576366,0.149833518,0.036625971,0.114583333,0.460423634,Quartile 3,Quartile 2,Quartile 1,Quartile 4,Quartile 2,Quartile 3,6488.357636,6283.881243,0,Quartile 1,0
4168,Tombstone Unified District,Cochise,9421982.92,8106985.01,6359067,6359067,3062915.92,1747918.01,6881819,6881819,2540163.92,1225166.01,50334418,840,0,0.038882139,0.29890644,0.577156744,0.180952381,0,0.227934045,0.422843256,Quartiles 1 & 2,Quartile 2,Quartile 3,Quartile 4,Quartile 2,Quartile 4,9651.172631,8192.641667,59921.92619,Quartile 2,4.8015
4169,Bisbee Unified District,Cochise,10176601,9273969,6146340,6146340,4030261,3127629,6619710,6619710,3556891,2654259,53283836,697,0,0,0.694202899,0.286956522,0.120516499,0.083213773,0.236739974,0.713043478,Quartile 4,Quartile 3,Quartile 3,"Quartiles 1, 2, & 3",Quartile 4,Quartile 2,13305.55093,9497.431851,76447.39742,Quartile 2,6.4225
4170,Willcox Unified District,Cochise,12615183.51,11446141.62,7648078,7648078,4967105.51,3798063.62,8290946,8290946,4324237.51,3155195.62,65470468,1111,0,0.017288444,0.67788899,0.304822566,0.122412241,0.106210621,0.224420191,0.695177434,Quartile 4,Quartile 3,Quartile 3,"Quartiles 1, 2, & 3",Quartile 4,Quartile 2,10302.55771,7462.59766,58929.31413,Quartile 2,6.4921
4171,Bowie Unified District,Cochise,1595181.54,1497149.02,1358816.73,1358816.73,236364.81,138332.29,1399657.04,1399657.04,195524.5,97491.98,12264455,49,0,0,0.693877551,0.306122449,0.224489796,0,0.2375,0.693877551,Quartiles 1 & 2,Quartile 3,Quartile 3,"Quartiles 1, 2, & 3",Quartile 4,Quartile 4,30554.06163,28564.42939,250295,Quartile 4,10.8023
4172,San Simon Unified District,Cochise,2205460.2,2054504.84,1792303.43,1792303.43,413156.77,262201.41,1871681.06,1871681.06,333779.14,182823.78,15208999,126,0,0,0.544,0.456,0,0.134920635,0.1125,0.544,Quartile 4,Quartile 2,Quartile 1,"Quartiles 1, 2, & 3",Quartile 3,Quartile 1,16305.59397,14854.61159,120706.3413,Quartile 3,8.9393
4173,St David Unified District,Cochise,4139451,3801448,2709261,2709261,1430190,1092187,2942952,2942952,1196499,858496,28828476,366,0,0,0.116477273,0.883522727,0.218579235,0,0.180392157,0.116477273,Quartiles 1 & 2,Quartile 1,Quartile 2,"Quartiles 1, 2, & 3",Quartile 1,Quartile 4,10386.46995,8040.852459,78766.32787,Quartile 3,5.6965
4174,Douglas Unified District,Cochise,35791482,29208297,23435792,23435792,12355690,5772505,25739239,25739239,10052243,3469058,70873046,4230,0,0.002609727,0.983867141,0.013523132,0.068794326,0.195508274,0.340245052,0.986476868,Quartile 4,Quartile 4,Quartile 4,"Quartiles 1, 2, & 3",Quartile 4,Quartile 1,6905.034752,6084.926478,16754.85721,Quartile 1,9.5806
